curated_category_id,product_id,product_type
17,218734,STOCK-IMAGE
17,218735,STOCK-IMAGE
17,218737,STOCK-IMAGE
17,218738,STOCK-IMAGE
17,22027,STOCK-IMAGE
17,22026,STOCK-IMAGE
17,318346,STOCK-IMAGE
17,318348,STOCK-IMAGE
17,318349,STOCK-IMAGE
17,318350,STOCK-IMAGE
17,318352,STOCK-IMAGE
17,318353,STOCK-IMAGE
17,318355,STOCK-IMAGE
17,318356,STOCK-IMAGE
17,318357,STOCK-IMAGE
17,318359,STOCK-IMAGE
17,318360,STOCK-IMAGE
17,318361,STOCK-IMAGE
17,65467,STOCK-IMAGE
17,170228,STOCK-IMAGE
17,170229,STOCK-IMAGE
17,211243,STOCK-IMAGE
17,212650,STOCK-IMAGE
17,212653,STOCK-IMAGE
17,212655,STOCK-IMAGE
17,33249,STOCK-IMAGE
17,33250,STOCK-IMAGE
17,33252,STOCK-IMAGE
17,33253,STOCK-IMAGE
17,33254,STOCK-IMAGE
17,33255,STOCK-IMAGE
17,33257,STOCK-IMAGE
17,33256,STOCK-IMAGE
17,184576,STOCK-IMAGE
17,184578,STOCK-IMAGE
17,184579,STOCK-IMAGE
17,184580,STOCK-IMAGE
17,184581,STOCK-IMAGE
17,184584,STOCK-IMAGE
17,184585,STOCK-IMAGE
17,184586,STOCK-IMAGE
17,184587,STOCK-IMAGE
17,184589,STOCK-IMAGE
17,184590,STOCK-IMAGE
17,33266,STOCK-IMAGE
17,227418,STOCK-IMAGE
17,227420,STOCK-IMAGE
17,227421,STOCK-IMAGE
17,167481,STOCK-IMAGE
17,167482,STOCK-IMAGE
17,167429,STOCK-IMAGE
17,193600,STOCK-IMAGE
17,148997,STOCK-IMAGE
17,167480,STOCK-IMAGE
17,167483,STOCK-IMAGE
17,44163,STOCK-IMAGE
17,167438,STOCK-IMAGE
17,118136,STOCK-IMAGE
17,62827,STOCK-IMAGE
17,62828,STOCK-IMAGE
17,62831,STOCK-IMAGE
17,62832,STOCK-IMAGE
17,62834,STOCK-IMAGE
17,149666,STOCK-IMAGE
17,161093,STOCK-IMAGE
