curated_category_id,stock_image_id,product_type_id
121,229050,STOCK-IMAGE
121,227231,STOCK-IMAGE
121,229904,STOCK-IMAGE
121,230055,STOCK-IMAGE
121,230069,STOCK-IMAGE
121,230367,STOCK-IMAGE
121,230612,STOCK-IMAGE
121,230702,STOCK-IMAGE
121,239663,STOCK-IMAGE
121,244718,STOCK-IMAGE
121,244746,STOCK-IMAGE
121,244747,STOCK-IMAGE
121,245122,STOCK-IMAGE
121,245123,STOCK-IMAGE
121,259018,STOCK-IMAGE
121,259019,STOCK-IMAGE
121,259020,STOCK-IMAGE
121,259021,STOCK-IMAGE
121,217151,STOCK-IMAGE
121,214313,STOCK-IMAGE
121,254443,STOCK-IMAGE
121,254444,STOCK-IMAGE
121,42682,STOCK-IMAGE
121,42683,STOCK-IMAGE
121,42684,STOCK-IMAGE
121,42685,STOCK-IMAGE
121,244164,STOCK-IMAGE
121,43259,STOCK-IMAGE
121,78235,STOCK-IMAGE
121,42814,STOCK-IMAGE
121,44198,STOCK-IMAGE
121,244113,STOCK-IMAGE
121,43517,STOCK-IMAGE
121,218537,STOCK-IMAGE
121,87280,STOCK-IMAGE
121,87281,STOCK-IMAGE
121,166667,STOCK-IMAGE
121,264189,STOCK-IMAGE
121,264188,STOCK-IMAGE
121,56521,STOCK-IMAGE
121,249423,STOCK-IMAGE
121,304942,STOCK-IMAGE
121,239537,STOCK-IMAGE
121,263412,STOCK-IMAGE
121,284387,STOCK-IMAGE
121,284388,STOCK-IMAGE
121,284393,STOCK-IMAGE
121,239564,STOCK-IMAGE
121,239565,STOCK-IMAGE
121,262564,STOCK-IMAGE
121,262565,STOCK-IMAGE
121,262710,STOCK-IMAGE
121,262711,STOCK-IMAGE
121,262712,STOCK-IMAGE
121,262350,STOCK-IMAGE
121,262351,STOCK-IMAGE
121,262718,STOCK-IMAGE
121,262720,STOCK-IMAGE
121,262722,STOCK-IMAGE
121,262723,STOCK-IMAGE
121,264480,STOCK-IMAGE
121,264482,STOCK-IMAGE
121,271001,STOCK-IMAGE
121,283524,STOCK-IMAGE
121,283525,STOCK-IMAGE
121,283526,STOCK-IMAGE
121,283529,STOCK-IMAGE
121,283530,STOCK-IMAGE
121,262789,STOCK-IMAGE
121,262372,STOCK-IMAGE
121,262373,STOCK-IMAGE
121,262800,STOCK-IMAGE
121,262801,STOCK-IMAGE
121,276025,STOCK-IMAGE
121,276026,STOCK-IMAGE
121,212229,STOCK-IMAGE
121,263044,STOCK-IMAGE
121,263045,STOCK-IMAGE
121,263048,STOCK-IMAGE
121,263271,STOCK-IMAGE
121,263274,STOCK-IMAGE
121,157968,STOCK-IMAGE
121,157969,STOCK-IMAGE
121,157970,STOCK-IMAGE
121,157971,STOCK-IMAGE
121,263308,STOCK-IMAGE
121,158023,STOCK-IMAGE
121,158024,STOCK-IMAGE
121,158084,STOCK-IMAGE
121,158085,STOCK-IMAGE
121,158101,STOCK-IMAGE
121,158102,STOCK-IMAGE
121,158159,STOCK-IMAGE
121,240489,STOCK-IMAGE
121,158305,STOCK-IMAGE
121,170490,STOCK-IMAGE
121,170491,STOCK-IMAGE
121,158386,STOCK-IMAGE
121,158391,STOCK-IMAGE
121,158392,STOCK-IMAGE
121,158393,STOCK-IMAGE
121,158394,STOCK-IMAGE
121,170496,STOCK-IMAGE
121,263378,STOCK-IMAGE
121,263387,STOCK-IMAGE
121,170384,STOCK-IMAGE
121,170390,STOCK-IMAGE
121,270431,STOCK-IMAGE
121,234017,STOCK-IMAGE
121,270411,STOCK-IMAGE
121,246831,STOCK-IMAGE
121,240440,STOCK-IMAGE
121,246734,STOCK-IMAGE
121,261505,STOCK-IMAGE
121,279024,STOCK-IMAGE
121,270824,STOCK-IMAGE
121,325225,STOCK-IMAGE
121,325226,STOCK-IMAGE
122,13840,STOCK-IMAGE
122,4624,STOCK-IMAGE
122,4625,STOCK-IMAGE
122,4626,STOCK-IMAGE
122,4627,STOCK-IMAGE
122,4628,STOCK-IMAGE
122,4629,STOCK-IMAGE
122,1526,STOCK-IMAGE
122,9494,STOCK-IMAGE
122,3423,STOCK-IMAGE
122,3424,STOCK-IMAGE
122,3426,STOCK-IMAGE
122,3427,STOCK-IMAGE
122,3479,STOCK-IMAGE
122,3483,STOCK-IMAGE
122,3484,STOCK-IMAGE
122,3485,STOCK-IMAGE
122,3486,STOCK-IMAGE
122,3487,STOCK-IMAGE
122,3488,STOCK-IMAGE
122,3490,STOCK-IMAGE
122,3493,STOCK-IMAGE
122,3498,STOCK-IMAGE
122,3501,STOCK-IMAGE
122,3513,STOCK-IMAGE
122,3514,STOCK-IMAGE
122,3532,STOCK-IMAGE
122,169689,STOCK-IMAGE
122,21295,STOCK-IMAGE
122,21305,STOCK-IMAGE
122,12439,STOCK-IMAGE
122,11988,STOCK-IMAGE
122,171058,STOCK-IMAGE
122,332635,STOCK-IMAGE
122,13652,STOCK-IMAGE
122,184416,STOCK-IMAGE
122,184418,STOCK-IMAGE
122,14797,STOCK-IMAGE
122,14800,STOCK-IMAGE
122,14801,STOCK-IMAGE
122,254859,STOCK-IMAGE
122,254886,STOCK-IMAGE
122,184487,STOCK-IMAGE
122,184486,STOCK-IMAGE
122,65774,STOCK-IMAGE
122,199224,STOCK-IMAGE
122,199225,STOCK-IMAGE
122,199226,STOCK-IMAGE
122,211234,STOCK-IMAGE
122,51258,STOCK-IMAGE
122,51255,STOCK-IMAGE
122,206806,STOCK-IMAGE
122,7920,STOCK-IMAGE
122,17993,STOCK-IMAGE
122,129436,STOCK-IMAGE
122,129437,STOCK-IMAGE
122,172255,STOCK-IMAGE
122,192614,STOCK-IMAGE
122,192613,STOCK-IMAGE
122,192603,STOCK-IMAGE
122,192758,STOCK-IMAGE
122,192757,STOCK-IMAGE
122,20826,STOCK-IMAGE
122,20827,STOCK-IMAGE
122,20431,STOCK-IMAGE
122,97689,STOCK-IMAGE
122,97690,STOCK-IMAGE
122,20438,STOCK-IMAGE
122,20439,STOCK-IMAGE
122,20456,STOCK-IMAGE
122,20457,STOCK-IMAGE
122,20472,STOCK-IMAGE
122,20491,STOCK-IMAGE
122,20502,STOCK-IMAGE
122,166735,STOCK-IMAGE
122,20574,STOCK-IMAGE
122,20575,STOCK-IMAGE
122,20583,STOCK-IMAGE
