"SKU","Name","ArteVenue Category","Price(Excluding tax)","Tax(in amt)","Length","Width","Quantity","Description","Image URL","Additional Information","Image Thumbnail URL"
"5241","Hunting near Bristol","Animals","1640.00","176.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5242","Hunting near Bristol II","Animals","510.00","55.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5243","Hunting near Bristol III","Animals","1700.00","182.00","22.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 17; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 22.00; Acrylic covered; ",""
"5244","Green Wheat Fields, Auvers","Landscape","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5245","Mediterraneo","Coastal","2760.00","296.00","13.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 8; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 13.00; Acrylic covered; ",""
"5246","Pianure serene","European","740.00","79.00","10.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 4; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 10.00; Acrylic covered; ",""
"5247","Flowers by the Sea","Landscape","1510.00","162.00","19.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 14; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 19.00; Acrylic covered; ",""
"5248","Russian Landscapes I","Landscape","440.00","47.00","13.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 7; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 13.00; Acrylic covered; ",""
"5249","Pine Bay","Landscape","1510.00","162.00","19.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 14; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 19.00; Acrylic covered; ",""
"5250","Lake in the Mountains","Landscape","440.00","47.00","13.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 7; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 13.00; Acrylic covered; ",""
"5251","Copper and Blue Birch Trees, Square 1","Landscape","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5252","Dreams and Trees Landscape","Landscape","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5253","Abstract Autumn 1","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5254","Abstract Autumn 2","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5255","Red September","Landscape","5710.00","612.00","24.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 19; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 24.00; Acrylic covered; ",""
"5256","Morning Light","Landscape","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5257","RIVIERA DI LEVANTE","Landscape","4900.00","525.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5258","MY RETREAT","Landscape","1290.00","138.00","14.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 8; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 14.00; Acrylic covered; ",""
"5259","LAVENDER FIELD","Landscape","3830.00","410.00","17.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 17.00; Acrylic covered; ",""
