curated_category_id,product_id,product_type
102,315416,STOCK-IMAGE
102,315417,STOCK-IMAGE
102,316299,STOCK-IMAGE
102,316304,STOCK-IMAGE
102,316413,STOCK-IMAGE
102,144996,STOCK-IMAGE
102,25,STOCK-IMAGE
102,1113,STOCK-IMAGE
102,14137,STOCK-IMAGE
102,14138,STOCK-IMAGE
102,14139,STOCK-IMAGE
102,14140,STOCK-IMAGE
102,29120,STOCK-IMAGE
102,29121,STOCK-IMAGE
102,82869,STOCK-IMAGE
102,82870,STOCK-IMAGE
102,751,STOCK-IMAGE
102,752,STOCK-IMAGE
102,200111,STOCK-IMAGE
102,200112,STOCK-IMAGE
103,74988,STOCK-IMAGE
103,74989,STOCK-IMAGE
103,74990,STOCK-IMAGE
103,74991,STOCK-IMAGE
103,74992,STOCK-IMAGE
103,75183,STOCK-IMAGE
103,75184,STOCK-IMAGE
103,75185,STOCK-IMAGE
103,75186,STOCK-IMAGE
103,75187,STOCK-IMAGE
103,75188,STOCK-IMAGE
103,75189,STOCK-IMAGE
103,75190,STOCK-IMAGE
103,75191,STOCK-IMAGE
103,75192,STOCK-IMAGE
103,75198,STOCK-IMAGE
103,75200,STOCK-IMAGE
103,75487,STOCK-IMAGE
103,75489,STOCK-IMAGE
103,75490,STOCK-IMAGE
103,75497,STOCK-IMAGE
103,152182,STOCK-IMAGE
103,152183,STOCK-IMAGE
103,207444,STOCK-IMAGE
103,207704,STOCK-IMAGE
103,10361,STOCK-IMAGE
103,10362,STOCK-IMAGE
103,35904,STOCK-IMAGE
103,55618,STOCK-IMAGE
103,55619,STOCK-IMAGE
103,264791,STOCK-IMAGE
103,255447,STOCK-IMAGE
103,261160,STOCK-IMAGE
103,261161,STOCK-IMAGE
103,305209,STOCK-IMAGE
103,305210,STOCK-IMAGE
103,281459,STOCK-IMAGE
103,24042,STOCK-IMAGE
103,15547,STOCK-IMAGE
103,51478,STOCK-IMAGE
103,24043,STOCK-IMAGE
103,15548,STOCK-IMAGE
103,51479,STOCK-IMAGE
103,123109,STOCK-IMAGE
103,74447,STOCK-IMAGE
103,336014,STOCK-IMAGE
103,15443,STOCK-IMAGE
103,23914,STOCK-IMAGE
103,34117,STOCK-IMAGE
103,34118,STOCK-IMAGE
103,204744,STOCK-IMAGE
103,122736,STOCK-IMAGE
103,122739,STOCK-IMAGE
103,33716,STOCK-IMAGE
103,41200,STOCK-IMAGE
103,298522,STOCK-IMAGE
103,206314,STOCK-IMAGE
103,206315,STOCK-IMAGE
103,309450,STOCK-IMAGE
103,309453,STOCK-IMAGE
103,28351,STOCK-IMAGE
103,207000,STOCK-IMAGE
103,21388,STOCK-IMAGE
103,21406,STOCK-IMAGE
103,21407,STOCK-IMAGE
103,28600,STOCK-IMAGE
103,21492,STOCK-IMAGE
103,117641,STOCK-IMAGE
103,117640,STOCK-IMAGE
103,157542,STOCK-IMAGE
103,73550,STOCK-IMAGE
103,73551,STOCK-IMAGE
103,78346,STOCK-IMAGE
103,78345,STOCK-IMAGE
103,192926,STOCK-IMAGE
103,192927,STOCK-IMAGE
103,336010,STOCK-IMAGE
103,298520,STOCK-IMAGE
103,298519,STOCK-IMAGE
103,171654,STOCK-IMAGE
103,175051,STOCK-IMAGE
103,171653,STOCK-IMAGE
103,281937,STOCK-IMAGE
103,281936,STOCK-IMAGE
103,281945,STOCK-IMAGE
103,281935,STOCK-IMAGE
103,204055,STOCK-IMAGE
103,286431,STOCK-IMAGE
103,286521,STOCK-IMAGE
103,286523,STOCK-IMAGE
103,235759,STOCK-IMAGE
103,238597,STOCK-IMAGE
103,238598,STOCK-IMAGE
103,238599,STOCK-IMAGE
103,238600,STOCK-IMAGE
103,163144,STOCK-IMAGE
103,163145,STOCK-IMAGE
103,61671,STOCK-IMAGE
103,61672,STOCK-IMAGE
103,61707,STOCK-IMAGE
103,61708,STOCK-IMAGE
103,61870,STOCK-IMAGE
103,61871,STOCK-IMAGE
103,60795,STOCK-IMAGE
103,60796,STOCK-IMAGE
103,68207,STOCK-IMAGE
103,68208,STOCK-IMAGE
103,68209,STOCK-IMAGE
103,68210,STOCK-IMAGE
103,76360,STOCK-IMAGE
103,76361,STOCK-IMAGE
103,76362,STOCK-IMAGE
103,76363,STOCK-IMAGE
103,76364,STOCK-IMAGE
103,76365,STOCK-IMAGE
103,230928,STOCK-IMAGE
103,246389,STOCK-IMAGE
103,230929,STOCK-IMAGE
103,246390,STOCK-IMAGE
103,259692,STOCK-IMAGE
103,259693,STOCK-IMAGE
103,84090,STOCK-IMAGE
103,84091,STOCK-IMAGE
103,156096,STOCK-IMAGE
103,156097,STOCK-IMAGE
103,302054,STOCK-IMAGE
103,302055,STOCK-IMAGE
103,312715,STOCK-IMAGE
103,312716,STOCK-IMAGE
103,329270,STOCK-IMAGE
103,329271,STOCK-IMAGE
103,104896,STOCK-IMAGE
103,104897,STOCK-IMAGE
103,253925,STOCK-IMAGE
103,253926,STOCK-IMAGE
103,157165,STOCK-IMAGE
103,157174,STOCK-IMAGE
103,157175,STOCK-IMAGE
103,157178,STOCK-IMAGE
103,157238,STOCK-IMAGE
103,280456,STOCK-IMAGE
103,280457,STOCK-IMAGE
103,280478,STOCK-IMAGE
103,43118,STOCK-IMAGE
103,43119,STOCK-IMAGE
103,43120,STOCK-IMAGE
103,117971,STOCK-IMAGE
103,43923,STOCK-IMAGE
103,118172,STOCK-IMAGE
103,118173,STOCK-IMAGE
103,118174,STOCK-IMAGE
103,52911,STOCK-IMAGE
103,52912,STOCK-IMAGE
103,52913,STOCK-IMAGE
103,52914,STOCK-IMAGE
103,53072,STOCK-IMAGE
103,105963,STOCK-IMAGE
103,105973,STOCK-IMAGE
103,105974,STOCK-IMAGE
103,105972,STOCK-IMAGE
103,70157,STOCK-IMAGE
103,70158,STOCK-IMAGE
103,70159,STOCK-IMAGE
103,85199,STOCK-IMAGE
103,105970,STOCK-IMAGE
103,105971,STOCK-IMAGE
103,143081,STOCK-IMAGE
103,154665,STOCK-IMAGE
103,154666,STOCK-IMAGE
103,189758,STOCK-IMAGE
103,189759,STOCK-IMAGE
103,298989,STOCK-IMAGE
103,299176,STOCK-IMAGE
103,299177,STOCK-IMAGE
103,350576,STOCK-IMAGE
103,350577,STOCK-IMAGE
103,213380,STOCK-IMAGE
103,213381,STOCK-IMAGE
103,213382,STOCK-IMAGE
103,220751,STOCK-IMAGE
103,220752,STOCK-IMAGE
103,315881,STOCK-IMAGE
103,315882,STOCK-IMAGE
103,315962,STOCK-IMAGE
103,315963,STOCK-IMAGE
103,316380,STOCK-IMAGE
103,316381,STOCK-IMAGE
103,316422,STOCK-IMAGE
103,316423,STOCK-IMAGE
103,316442,STOCK-IMAGE
103,316443,STOCK-IMAGE
103,315042,STOCK-IMAGE
103,316998,STOCK-IMAGE
103,143642,STOCK-IMAGE
103,144818,STOCK-IMAGE
103,144819,STOCK-IMAGE
103,1706,STOCK-IMAGE
103,249,STOCK-IMAGE
103,250,STOCK-IMAGE
103,9569,STOCK-IMAGE
103,9570,STOCK-IMAGE
103,146084,STOCK-IMAGE
103,146085,STOCK-IMAGE
103,219536,STOCK-IMAGE
103,219537,STOCK-IMAGE
103,20198,STOCK-IMAGE
103,20199,STOCK-IMAGE
103,20204,STOCK-IMAGE
103,20216,STOCK-IMAGE
103,20217,STOCK-IMAGE
103,20218,STOCK-IMAGE
103,20220,STOCK-IMAGE
103,20221,STOCK-IMAGE
103,20222,STOCK-IMAGE
103,20223,STOCK-IMAGE
103,20229,STOCK-IMAGE
103,20231,STOCK-IMAGE
103,14529,STOCK-IMAGE
103,219647,STOCK-IMAGE
103,6922,STOCK-IMAGE
103,299375,STOCK-IMAGE
103,74987,STOCK-IMAGE
104,144454,STOCK-IMAGE
104,5416,STOCK-IMAGE
104,5541,STOCK-IMAGE
104,5542,STOCK-IMAGE
104,6874,STOCK-IMAGE
104,6875,STOCK-IMAGE
104,6892,STOCK-IMAGE
104,6893,STOCK-IMAGE
104,5435,STOCK-IMAGE
104,5436,STOCK-IMAGE
104,5444,STOCK-IMAGE
104,5445,STOCK-IMAGE
104,5446,STOCK-IMAGE
104,5479,STOCK-IMAGE
104,5480,STOCK-IMAGE
104,5499,STOCK-IMAGE
104,5500,STOCK-IMAGE
104,5503,STOCK-IMAGE
104,5504,STOCK-IMAGE
104,5525,STOCK-IMAGE
104,5526,STOCK-IMAGE
104,5527,STOCK-IMAGE
104,5528,STOCK-IMAGE
104,5990,STOCK-IMAGE
104,5991,STOCK-IMAGE
104,5997,STOCK-IMAGE
104,95,STOCK-IMAGE
104,96,STOCK-IMAGE
104,2648,STOCK-IMAGE
104,2649,STOCK-IMAGE
104,3465,STOCK-IMAGE
104,3466,STOCK-IMAGE
104,3469,STOCK-IMAGE
104,3470,STOCK-IMAGE
104,3473,STOCK-IMAGE
104,3474,STOCK-IMAGE
104,3475,STOCK-IMAGE
104,3476,STOCK-IMAGE
104,3478,STOCK-IMAGE
104,3482,STOCK-IMAGE
104,3492,STOCK-IMAGE
104,3498,STOCK-IMAGE
104,3505,STOCK-IMAGE
104,3828,STOCK-IMAGE
104,21731,STOCK-IMAGE
104,86083,STOCK-IMAGE
104,86084,STOCK-IMAGE
104,106303,STOCK-IMAGE
104,21693,STOCK-IMAGE
104,21706,STOCK-IMAGE
104,21694,STOCK-IMAGE
104,22109,STOCK-IMAGE
104,22110,STOCK-IMAGE
104,22133,STOCK-IMAGE
104,22137,STOCK-IMAGE
104,22138,STOCK-IMAGE
104,22186,STOCK-IMAGE
104,22188,STOCK-IMAGE
104,22190,STOCK-IMAGE
104,22191,STOCK-IMAGE
104,22192,STOCK-IMAGE
104,22287,STOCK-IMAGE
104,22288,STOCK-IMAGE
104,22291,STOCK-IMAGE
104,22292,STOCK-IMAGE
104,22294,STOCK-IMAGE
104,22313,STOCK-IMAGE
104,22314,STOCK-IMAGE
104,22327,STOCK-IMAGE
104,22328,STOCK-IMAGE
104,22330,STOCK-IMAGE
104,22331,STOCK-IMAGE
104,22332,STOCK-IMAGE
104,21709,STOCK-IMAGE
104,137825,STOCK-IMAGE
104,137826,STOCK-IMAGE
104,137827,STOCK-IMAGE
104,137831,STOCK-IMAGE
104,32612,STOCK-IMAGE
104,22444,STOCK-IMAGE
104,22445,STOCK-IMAGE
104,86119,STOCK-IMAGE
104,21751,STOCK-IMAGE
104,21752,STOCK-IMAGE
104,39856,STOCK-IMAGE
104,39857,STOCK-IMAGE
104,34261,STOCK-IMAGE
104,34262,STOCK-IMAGE
104,10067,STOCK-IMAGE
104,10068,STOCK-IMAGE
104,10103,STOCK-IMAGE
104,10104,STOCK-IMAGE
104,10385,STOCK-IMAGE
104,10386,STOCK-IMAGE
104,10423,STOCK-IMAGE
104,21639,STOCK-IMAGE
104,21640,STOCK-IMAGE
104,157485,STOCK-IMAGE
104,10311,STOCK-IMAGE
104,10312,STOCK-IMAGE
104,12804,STOCK-IMAGE
104,11720,STOCK-IMAGE
104,12026,STOCK-IMAGE
104,12027,STOCK-IMAGE
104,12105,STOCK-IMAGE
104,95361,STOCK-IMAGE
104,95362,STOCK-IMAGE
104,95604,STOCK-IMAGE
104,95700,STOCK-IMAGE
104,12344,STOCK-IMAGE
104,12558,STOCK-IMAGE
104,170949,STOCK-IMAGE
104,36721,STOCK-IMAGE
104,36722,STOCK-IMAGE
104,12377,STOCK-IMAGE
104,12378,STOCK-IMAGE
104,11896,STOCK-IMAGE
104,36864,STOCK-IMAGE
104,36865,STOCK-IMAGE
104,11934,STOCK-IMAGE
104,33077,STOCK-IMAGE
104,51015,STOCK-IMAGE
104,51014,STOCK-IMAGE
104,51062,STOCK-IMAGE
104,51061,STOCK-IMAGE
104,24339,STOCK-IMAGE
104,24340,STOCK-IMAGE
104,18884,STOCK-IMAGE
104,18656,STOCK-IMAGE
104,18754,STOCK-IMAGE
104,17977,STOCK-IMAGE
